id;fecha_trending;titulo;canal;categoria;visitas;likes;dislikes
6-oAh2AnAsA;04/12/2017;Vale Promete Novedades de Soy Luna ¿Cumplirá? | Disney Planet News #5;Disney Channel LA;Entertainment;52542;4592;98
4Fe6mpkqjzo;04/12/2017;Tigres vs América 4-0 RESUMEN Semifinales IDA-VUELTA Apertura 2017 Liga Mx;Roman Guevara;Sports;19231;384;4
SHSoyMlsIec;04/12/2017;Bandas Estrenos 2017 Mix La Adictiva, Banda MS, Calibre 50, Julión Álvarez, La Arrolladora;ChiChigos;Entertainment;6303;47;7
X_Z2lAOyZ1c;04/12/2017;DEJAN EN RIDICULO A MEADE Y EL SOLO SE BURLA Y SE RIE;Lalo Rivera;Entertainment;3915;147;3
FNI0h7omTUM;04/12/2017;Encontró una cámara debajo del agua. Mira lo que contenía dentro;Infortv;Entertainment;16271;184;23
3Wmc303Fe7E;04/12/2017;DIY Renuéva tu ropa paso a paso | DIY How To Make Your Clothes New Again;Cosas de Niñas;People & Blogs;8778;780;17
VlX9eotJHag;04/12/2017;COMO CONECTAR EL AUDIO DESDE CERO PARTE 1;Dj barby Sonidero;People & Blogs;6830;186;12
cuGDxvviXHE;04/12/2017;MC Davo - Nuevo Tema | Preview;Adelantos Rap •;People & Blogs;1368;86;3
y905u1T-PTA;04/12/2017;PREPARACIÓN DE COMIDA SEMANAL! | VEGANO, SALUDABLE Y ALTO EN PROTEÍNA;No te comas a tu perro;People & Blogs;7329;912;1
2k1mtSbLzio;04/12/2017;Evangelio De Hoy 3 De Diciembre De 2017, Lectio Divina - Tele VID;Tele VID;Entertainment;13867;693;16
XOqhYhVu9hE;04/12/2017;Pr. Bullon -  Lección 10 - Hijos de la promesa;Alejandro Bullón;People & Blogs;13189;495;26
QqZYbGO7Q90;04/12/2017;[ENG SUB] BTS Surprise Birthday Party for Jin 171204;BTS Subs;Music;24607;3486;7
Ca_t7fu5qgM;04/12/2017;Por que Razón Tony Stark ''Iron-Man'' Llora en el Trailer de los vengadores Infinitywar?;Info Marvel;Entertainment;174903;6427;388
2T-VLx8HAms;04/12/2017;Pascal hace trampa en Exatlón México para sentenciar a.. Eduardo judoman y queda en ridículo;Elven King Life;Entertainment;100525;500;260
8p4F3JM1tfA;04/12/2017;YAMILETH VUELVE A DELEITAR CON BAILE SEPXI DEJA A TODOS HELADOS | ENAMORÁNDONOS;A la Yugular Noticias;Entertainment;85260;266;36
Vf7aFjEUqJ0;04/12/2017;Fútbol Picante Tigres vs América 3-0 2017 Deztrozan a las Aguilas y Van a Correr Jugadores;Legión Fútbol;People & Blogs;14383;31;11
JvyiOy0B9u0;04/12/2017;LOS PANCAKES MÁS ESPONJOSOS Y SALUDABLES | pancake japonés;PostresSaludables;People & Blogs;14235;1686;16
nDytgJ0ZYwM;04/12/2017;Aprendiendo a manejar con Juca;Karime Pindter;Howto & Style;1044867;40023;1476
VhUPeXWjuGc;04/12/2017;Black Mirror - Metalhead | Tráiler oficial [HD] | Netflix;Netflix América Latina;Entertainment;11007;495;10
8G3BF49I1yg;04/12/2017;¿Irina Baeva es la causante de divorcio entre Gabriel Soto y Geraldine Bazán?;elisa44m;Entertainment;47671;158;40
_3BmzGphu_M;04/12/2017;Ringtime .:meme:. [Leer descripccion];Melixna #Fnafhs;People & Blogs;3801;484;18
u29m794X1wM;04/12/2017;Evangelio de hoy domingo 3 de diciembre de 2017;Padre Sergio;People & Blogs;19340;1192;22
z_9xS6XFQls;04/12/2017;UNHAUL MASIVO: ¡Adiós libros! (+80 libros) | Sorteo Internacional;Clau Reads Books;People & Blogs;26859;5144;37
SLoa_gPeY7A;04/12/2017;MIRAR EL SOL PUEDE ACTIVAR HABILIDADES SUPER HUMANAS;Jaconor 73;Entertainment;19811;1175;67
LX_oSgWN6hk;04/12/2017;Este 2017 Fue Una Humillación Para El América?, La Ultima Palabra;Espn En Vivo;Sports;12269;37;9
YI06w_Ox_GA;04/12/2017;Coco Craziness 3 | Coco Disney Craziness Coco Movie Disney Craziness Miguel , Hector And Dante;EpicFanmade;Entertainment;91040;262;66
PnwgBVQtnAM;04/12/2017;IU Reaction BTS @Melon Music Awards 2017 MMA 'DNA+Spring' PART 2;KoreAnnyeong;People & Blogs;291756;6111;74
JZKL9OcTi_0;04/12/2017;20 Trucos Antiguos Que Son Útiles Incluso Hoy;GENIAL;Howto & Style;27072;3646;142
qGohZu-Bh4A;04/12/2017;¿BTS V SALE CON UNA ARMY? | DNA ES BORRADO? | SE REVELA EL SECRETO DE BTS!;Hello Kito;Music;7071;2088;13
wqi0pOO-KZk;04/12/2017;Como decorar la casa en Navidad / Diy christmas  Holiday  ideas decor / how to Christmas ideas;tallermanualperu;Howto & Style;17763;1054;32
Tfaq4UTH7P0;04/12/2017;Alan Walker - All Falls Down (Live Performance at YouTube Space NY with Noah Cyrus & Juliander);Alan Walker;Music;1160787;100121;789
2w5mzJPonNk;04/12/2017;Programas de Concursos en la Vida Diaria | SKETCH | QueParió!;QueParió!;Comedy;412446;29307;895
2z4pSI_sG_s;04/12/2017;Alemania Aplastará a México Tiene Super Estrellas Que Ya Les Paso Por Encima | Sorteo Del Mundial;ViperMS;Sports;201398;813;129
B9p6cgSBI-s;04/12/2017;10 Curiosidades Enviadas Por Mis Suscriptores;CuriosoBen;Entertainment;731989;58572;685
Py5RW6i0BAM;04/12/2017;[2da parte]  9 Autos deportivos increíblemente BARATOS;GalaSmart;Autos & Vehicles;3151;159;5
nFw7OOgR6nY;04/12/2017;¿Nuevo Mega Man X? El cereal de Super Mario (Noticias #73);El Fedelobo;Gaming;190132;14228;179
RDzK9lfjpZo;04/12/2017;Disfruten De Este Capítulo, Amigos.;rudelsito;People & Blogs;31328;671;14
refB-CtSN4o;04/12/2017;Reflexión | Para ti que estás viviendo la mayor prueba de tu vida;Un viaje a la vida;Entertainment;87406;6407;97
1G0rf6iYhB0;04/12/2017;Borrego Viudo y Alex Strecci - ÑAMÑAM (Episodio 4);Casa Comedy TV;Comedy;87428;4349;122
Xe3AI--nFIw;04/12/2017;nunca pensé recibir este mensaje..;Brian Sobrevilla;Entertainment;68421;9863;177
GH4oTnyAFBk;04/12/2017;Nueva  joya de Guillermo del Toro: The Shape of the Water (Close Up);EstoEs COMBO;Film & Animation;16248;1504;12
8kkD47PMj88;04/12/2017;FC Juarez vs Alebrijes de Oaxaca 2-1 PENALES (2-4) y Resumen Ascenso Mx 2017 Final VUELTA;FutBolHD & Games;Sports;77495;213;31
d56jDGM3-yA;04/12/2017;Soy Luna 3 - Tráiler Oficial;Edson Channel;Music;10011;700;31
ka5HHwknpmM;04/12/2017;Ha*Ash - Promoción 30 de Febrero en CDMX;HaAshOficial;Music;3541;506;2
DQQN_79QrDY;04/12/2017;1,000,000 Dominoes Falling is Oddly SATISFYING;Hevesh5;Entertainment;1421466;17240;1268
dB8SDhv4ZAA;04/12/2017;NUEVA DESIGNACIÓN PARA CHIVAS 2018 (ITINERARIO) CHIVAS CLAUSURA 2018 LIGA MX;CABALLERO CH;Sports;25555;327;17
1PUlI6Ex4vU;04/12/2017;Camino a Avengers Infinity War: Las mejores entrevistas del Universo Marvel en Combo;LA LATA;Film & Animation;38302;3168;25
mgJGZ-E9bG4;04/12/2017;[SUB ESPAÑOL] 171202 BTS @ MMA 2017 | Discurso de aceptación - GLOBAL ARTIST 2017;BTSVT SUBS;Music;8451;1542;3
sjfrsinmbtg;04/12/2017;ESTAMOS EN PELIGRO ! | EL SECRETO DE HENRI cap 36 (otome - novela visual español);Natsuki Sel;Gaming;11090;1731;13
7_axjdaREJs;04/12/2017;Zenosama elimina al universo 2 sub Español HD Dragon Ball super;startghost;Gaming;49753;557;17
VcHvrCBPpl8;04/12/2017;BRUNO ES ROSTIZADO Y PLANTADO #ENAMORANDONOS - KINGS DEL WEPA;KINGS DEL WEPA;Music;407751;6712;307
Wz5pusVmAy4;04/12/2017;El Misterio se Cierne sobre la Nube de Radiación Rusa;Mundo Desconocido;Science & Technology;93933;4840;191
psFRVLXSz54;04/12/2017;Arsenal vs Manchester United 1-3 All Goal & Highlight Extended (EPL) 2017/18;Paul Pogba;People & Blogs;1003248;2870;326
WhFo_Q9pN7Q;04/12/2017;FC JUAREZ VS ALEBRIJES DE OAXACA 4-5 - RESUMEN FINAL APERTURA 2017 ASCENSO MX;Ascenso MX;Sports;17146;107;9
ysZcHUx7Uv8;04/12/2017;7 Curiosidades / Errores de Dragon Ball Super 118 | Dash Aniston;Dash Aniston;Film & Animation;166184;7708;263
MBKUkjPo7lQ;05/12/2017;Capítulo 15 | MasterChef 2017;MasterChef 2017;Entertainment;633668;6425;385
lwPftq0KcwM;05/12/2017;LOS CHAIROS TIENEN RAZÓN - EL PULSO DE LA REPÚBLICA;El Pulso De La República;News & Politics;295014;14251;690
